employee_id,weeks_active,pr_cycle_time_before_hrs,pr_cycle_time_after_hrs,review_rework_before_pct,review_rework_after_pct,weekly_active_days,satisfaction_1to10,verbatim
102204,8,32.9,29.4,16.2,12.0,5,6,Cuts the boring parts
102228,13,19.0,12.0,29.3,23.8,2,8,Feels like a senior pair
102241,7,20.8,13.9,29.3,22.8,5,7,
102256,13,39.5,34.7,28.6,16.3,2,6,Saved me a day on a refactor
102271,7,37.5,24.6,25.5,21.0,2,10,Cuts the boring parts
102276,6,43.8,25.7,21.6,16.7,2,6,Struggles with our legacy modules
102298,10,39.4,26.4,22.6,13.7,2,6,Great for tests and boilerplate
102310,9,32.2,25.8,12.6,9.8,3,8,Context window still limiting
102312,11,53.3,30.5,31.4,21.5,4,7,Cuts the boring parts
102313,7,44.1,39.7,28.1,19.1,5,10,
102314,12,35.2,31.7,13.3,9.0,3,9,Cuts the boring parts
102316,13,43.7,28.5,25.7,22.0,4,8,Feels like a senior pair
102338,12,37.7,26.3,26.2,19.6,3,9,Cuts the boring parts
102375,10,47.8,37.8,24.3,19.7,2,9,Saved me a day on a refactor
102393,9,41.3,33.8,32.1,16.6,4,6,Cuts the boring parts
102397,11,58.2,42.3,20.7,10.6,4,6,Feels like a senior pair
102415,7,41.3,39.0,26.9,21.8,2,9,
102430,7,45.3,42.1,32.8,18.9,5,7,Context window still limiting
102434,7,36.8,34.1,32.2,19.3,2,6,Cuts the boring parts
102463,11,44.2,40.7,30.4,22.2,2,7,Cuts the boring parts
102480,7,22.6,12.5,23.0,11.7,5,7,Worried it makes juniors lazy
102493,13,39.0,22.7,28.8,14.6,3,8,Best onboarding tool we have
102494,11,51.4,37.7,29.1,19.6,4,7,Context window still limiting
102519,11,22.7,14.0,22.9,19.7,3,8,Feels like a senior pair
102524,6,30.5,27.4,15.1,13.1,4,9,Context window still limiting
102527,9,58.1,35.9,31.1,20.3,2,9,Great for tests and boilerplate
102534,10,50.8,48.3,19.5,9.8,4,8,Struggles with our legacy modules
102547,6,32.1,22.7,32.8,28.7,2,9,Feels like a senior pair
102549,8,32.7,29.0,22.5,12.5,2,8,Worried it makes juniors lazy
102582,8,21.9,16.1,30.9,25.9,2,7,Best onboarding tool we have
102595,11,21.5,19.8,17.1,12.8,2,6,Context window still limiting
102601,12,39.9,23.1,27.1,22.3,2,7,Cuts the boring parts
102632,7,54.2,45.9,13.4,7.5,3,8,
102716,8,59.3,51.2,29.3,20.4,3,10,Best onboarding tool we have
102755,9,52.1,39.4,31.5,22.1,5,10,
102761,7,18.7,11.2,19.4,10.1,3,8,Best onboarding tool we have
102788,10,47.7,37.0,14.0,9.6,3,6,Worried it makes juniors lazy
102794,11,51.1,34.6,22.3,16.2,3,6,Cuts the boring parts
102836,8,49.8,35.4,12.1,9.1,5,6,Great for tests and boilerplate
102842,12,19.0,12.7,18.4,16.0,2,8,Worried it makes juniors lazy
102858,12,26.4,14.7,13.4,7.9,2,10,Worried it makes juniors lazy
102904,11,54.0,46.3,26.6,18.1,4,8,Struggles with our legacy modules
102929,11,27.2,19.0,23.3,16.0,4,6,Saved me a day on a refactor
102943,13,52.4,49.5,18.2,9.8,2,8,Worried it makes juniors lazy
102969,9,18.4,16.2,24.4,13.9,4,9,Context window still limiting
102972,9,25.1,18.3,20.1,17.7,4,8,Saved me a day on a refactor
103023,10,48.1,37.9,22.0,14.8,4,8,Cuts the boring parts
103026,13,20.0,13.0,29.3,21.8,3,10,Context window still limiting
103079,12,46.7,40.2,31.3,22.4,2,10,
103090,12,23.7,17.9,25.7,15.6,3,6,Worried it makes juniors lazy
103110,8,59.8,38.1,18.2,9.2,3,6,Great for tests and boilerplate
103115,9,50.9,32.0,28.3,23.2,3,9,Feels like a senior pair
103170,12,28.4,21.7,21.0,13.0,5,9,
103204,7,35.0,22.1,33.8,26.8,4,7,Great for tests and boilerplate
103211,9,25.7,23.3,13.8,7.0,5,6,Saved me a day on a refactor
103224,10,35.6,20.4,28.7,19.1,4,8,Context window still limiting
103237,7,49.6,32.4,15.0,7.9,2,9,Best onboarding tool we have
103251,6,18.6,14.8,13.0,8.4,3,7,Context window still limiting
103267,13,50.5,43.7,14.0,8.9,2,6,Worried it makes juniors lazy
103415,12,18.8,16.6,18.1,12.1,3,10,
103423,10,42.3,25.6,18.8,16.9,4,10,Best onboarding tool we have
103431,13,42.0,34.8,32.1,20.4,3,8,
103474,9,20.6,19.2,33.1,18.0,2,10,Struggles with our legacy modules
103551,12,56.0,40.7,19.9,16.0,3,6,Saved me a day on a refactor
103584,11,26.0,21.1,27.0,13.7,2,9,Best onboarding tool we have
103615,7,47.9,45.4,28.9,25.2,5,10,
103628,6,47.8,27.3,26.9,16.0,3,10,Feels like a senior pair
103647,7,38.3,33.0,26.6,21.1,3,6,Great for tests and boilerplate
103680,10,53.3,31.2,12.5,9.2,4,10,Saved me a day on a refactor
103697,6,54.8,31.7,13.4,8.1,3,10,Cuts the boring parts
103715,11,36.3,33.0,24.5,20.4,3,9,Great for tests and boilerplate
103719,12,20.4,15.3,22.3,14.7,5,6,Struggles with our legacy modules
103745,7,31.6,24.1,14.7,8.1,5,9,Feels like a senior pair
103772,13,58.0,35.6,23.9,15.1,2,6,Saved me a day on a refactor
103773,12,48.9,36.7,18.4,12.2,3,6,
103777,13,58.4,40.4,14.8,9.3,5,9,
103788,10,36.4,29.6,12.1,10.4,2,6,Context window still limiting
103800,11,46.0,43.6,25.1,13.5,3,8,Cuts the boring parts
103816,8,58.5,55.1,19.0,15.3,5,10,Context window still limiting
103856,13,45.8,35.9,21.5,18.9,5,10,Context window still limiting
103861,8,43.8,34.1,12.2,10.9,2,9,Cuts the boring parts
103865,12,29.0,24.8,22.9,19.4,4,6,Worried it makes juniors lazy
103873,9,56.4,52.8,30.1,15.6,4,6,Cuts the boring parts
103881,13,28.0,25.2,13.6,8.7,2,6,
103906,6,27.3,25.2,26.5,18.6,3,8,Saved me a day on a refactor
103907,9,33.8,27.8,27.5,16.9,3,6,Great for tests and boilerplate
103930,8,57.5,54.2,15.3,12.7,3,10,Feels like a senior pair
103963,9,45.3,29.8,17.4,11.8,3,10,Worried it makes juniors lazy
103964,7,58.5,38.1,15.5,10.6,3,6,Context window still limiting
104004,13,56.2,46.9,18.9,14.3,3,8,Great for tests and boilerplate
104007,12,31.5,29.2,33.6,21.9,5,6,Best onboarding tool we have
104013,10,47.6,34.5,17.9,9.6,3,8,Context window still limiting
104026,10,45.0,39.5,16.9,12.0,5,8,Great for tests and boilerplate
104030,6,46.8,41.4,25.1,20.9,4,10,Feels like a senior pair
104046,6,24.2,19.5,22.4,13.3,5,7,Cuts the boring parts
104056,7,21.0,18.6,25.4,19.1,2,10,Saved me a day on a refactor
104071,9,44.2,33.1,33.3,28.5,3,10,Saved me a day on a refactor
104073,10,44.2,36.7,30.1,17.8,4,6,Great for tests and boilerplate
104089,12,35.9,29.8,27.3,24.4,4,6,Saved me a day on a refactor
104092,8,45.5,29.0,15.3,12.3,5,7,Feels like a senior pair
104093,12,33.9,23.2,24.1,19.9,2,8,Struggles with our legacy modules
104142,11,59.3,49.7,18.7,13.4,3,9,Best onboarding tool we have
104171,11,46.6,27.1,16.2,11.4,2,8,
104184,13,34.9,23.2,12.8,7.9,2,10,
104194,6,51.6,40.7,13.8,9.5,5,9,Context window still limiting
104207,6,22.2,15.4,19.9,14.1,5,6,
104218,11,36.5,20.5,13.8,8.1,2,7,Struggles with our legacy modules
104223,7,18.4,13.2,19.9,13.1,3,9,Worried it makes juniors lazy
104237,11,45.1,28.1,27.1,17.1,5,10,Worried it makes juniors lazy
104243,11,25.4,15.0,15.8,11.1,3,8,Worried it makes juniors lazy
104263,10,52.4,34.3,12.8,9.7,3,9,Best onboarding tool we have
104320,7,56.4,40.0,31.7,20.0,4,7,Great for tests and boilerplate
104390,6,19.8,16.5,26.2,13.3,4,8,Feels like a senior pair
104432,10,21.8,18.7,15.8,11.8,5,8,Worried it makes juniors lazy
104466,9,47.4,35.2,25.1,17.2,4,10,Saved me a day on a refactor
104473,7,20.8,19.4,33.3,29.7,5,7,
104489,8,30.7,27.0,15.2,8.3,5,7,Worried it makes juniors lazy
104499,9,21.6,19.0,27.5,19.7,3,7,Feels like a senior pair
104504,13,20.3,14.1,33.2,24.8,5,6,Feels like a senior pair
104507,8,32.9,19.8,15.1,11.8,3,9,Context window still limiting
104550,7,22.2,16.6,32.9,16.8,3,10,Cuts the boring parts
104592,7,41.1,35.4,30.1,19.2,5,7,Worried it makes juniors lazy
104597,7,40.9,34.1,24.1,14.2,2,10,
104636,8,42.0,32.4,20.0,10.3,4,9,Worried it makes juniors lazy
104705,10,18.9,17.1,12.5,8.0,3,7,Cuts the boring parts
104725,7,20.1,15.5,19.4,9.8,4,9,Struggles with our legacy modules
104757,9,39.0,26.5,28.8,19.4,5,7,Struggles with our legacy modules
104776,6,43.3,39.4,31.0,17.5,4,7,
104797,10,34.4,30.8,14.1,8.2,4,7,Cuts the boring parts
104801,12,42.0,24.7,18.0,11.0,3,6,Worried it makes juniors lazy
104827,13,54.0,33.7,19.4,15.4,3,9,Feels like a senior pair
104830,8,50.3,43.7,31.9,26.8,2,6,
104853,8,19.4,18.4,29.0,23.5,3,10,Cuts the boring parts
104926,13,37.2,23.7,32.1,25.9,3,10,Cuts the boring parts
104959,7,27.8,16.8,13.8,9.3,4,8,Context window still limiting
104966,12,44.9,42.1,17.2,9.9,2,6,Best onboarding tool we have
104973,13,59.6,51.6,22.3,17.7,5,8,Best onboarding tool we have
104976,6,27.9,18.6,12.6,9.6,4,6,Struggles with our legacy modules
105041,11,47.1,27.7,15.0,7.6,3,9,
105071,8,54.3,37.0,13.4,10.8,4,8,Saved me a day on a refactor
105077,10,45.3,39.3,20.3,13.8,5,10,Feels like a senior pair
105081,8,58.4,55.3,16.2,13.0,3,9,Struggles with our legacy modules
105109,9,52.8,48.7,12.2,9.4,3,7,Cuts the boring parts
105115,10,30.6,23.5,12.2,6.2,4,7,Worried it makes juniors lazy
105125,13,30.1,21.3,32.5,26.9,3,10,Great for tests and boilerplate
105129,10,38.7,28.8,18.1,10.8,5,9,Struggles with our legacy modules
105134,10,46.7,30.6,32.2,26.3,4,7,Best onboarding tool we have
105172,8,59.8,54.7,15.2,11.0,4,8,Worried it makes juniors lazy
105175,13,51.5,34.3,15.6,12.7,4,10,Context window still limiting
105182,10,33.3,26.2,22.8,18.5,2,7,Cuts the boring parts
105192,7,18.1,15.8,27.0,22.3,2,9,Struggles with our legacy modules
105198,9,27.2,23.3,26.3,17.3,2,10,Struggles with our legacy modules
105209,12,46.2,30.3,30.8,26.5,4,10,Saved me a day on a refactor
105213,11,53.4,37.9,27.4,21.1,5,9,Cuts the boring parts
105239,11,25.7,14.4,21.4,11.9,2,7,Cuts the boring parts
105271,9,42.4,25.2,28.6,19.6,4,10,Saved me a day on a refactor
105283,10,52.6,45.9,28.9,18.0,2,10,Worried it makes juniors lazy
105292,11,46.9,28.9,19.0,11.6,3,9,Cuts the boring parts
105302,7,33.5,30.2,19.7,14.7,4,10,Best onboarding tool we have
105400,8,30.9,24.4,19.5,9.8,3,10,Saved me a day on a refactor
105430,13,20.8,16.0,20.2,18.0,5,10,Great for tests and boilerplate
105445,7,21.1,17.5,19.7,16.4,4,10,Cuts the boring parts
105465,11,53.5,38.9,25.3,13.8,5,8,
105492,12,49.7,27.9,18.6,13.1,2,10,Cuts the boring parts
105506,8,54.3,33.2,30.0,23.7,3,8,Cuts the boring parts
105563,13,48.8,38.6,33.7,21.0,4,10,Best onboarding tool we have
105607,7,59.1,39.5,19.1,10.8,4,8,Great for tests and boilerplate
105634,9,31.3,19.5,26.0,19.4,5,7,Saved me a day on a refactor
105649,8,51.7,43.5,32.5,27.2,2,8,Feels like a senior pair
105653,9,19.4,13.8,18.3,15.2,5,8,Best onboarding tool we have
105677,12,47.0,29.3,24.6,17.3,4,10,Saved me a day on a refactor
105700,11,37.2,34.8,20.2,15.4,5,8,Best onboarding tool we have
105714,7,33.1,20.8,25.6,14.5,2,10,Worried it makes juniors lazy
105725,11,19.7,13.0,33.8,20.3,3,10,Great for tests and boilerplate
105738,6,47.5,36.3,33.8,21.8,4,10,Feels like a senior pair
105741,6,20.1,14.2,24.0,18.5,4,8,Struggles with our legacy modules
105745,7,34.7,21.0,18.1,10.0,2,9,Feels like a senior pair
105761,13,49.5,37.2,25.5,14.3,4,7,Context window still limiting
105796,13,41.5,36.6,18.8,12.1,2,6,Feels like a senior pair
105814,11,57.7,38.7,29.6,17.5,2,8,Worried it makes juniors lazy
105823,7,59.6,50.5,20.2,15.9,2,9,Struggles with our legacy modules
105824,7,19.4,17.5,12.7,6.4,2,8,Great for tests and boilerplate
105831,12,24.1,16.7,32.7,23.0,2,8,Context window still limiting
105838,6,18.0,14.5,18.9,14.2,2,6,
105840,8,39.1,26.8,20.7,14.4,5,6,Struggles with our legacy modules
105844,13,48.1,44.6,14.8,10.7,5,9,Cuts the boring parts
105848,9,28.6,17.8,14.4,12.2,2,6,Cuts the boring parts
105852,11,20.1,16.4,18.0,13.2,3,8,Worried it makes juniors lazy
105894,7,19.6,10.8,28.2,18.2,3,8,Saved me a day on a refactor
105910,13,38.7,36.0,18.2,11.3,3,9,Great for tests and boilerplate
105941,10,21.5,17.4,27.2,14.5,5,9,Context window still limiting
105947,7,46.2,29.4,21.6,12.7,3,10,Best onboarding tool we have
105953,8,39.1,31.5,29.0,18.9,4,8,
105997,8,44.8,33.7,19.0,12.5,5,7,Saved me a day on a refactor
103585,11,36.5,24.8,27.2,21.9,3,8,Cuts the boring parts
102946,9,52.7,49.8,29.3,19.5,3,6,Worried it makes juniors lazy
104488,9,25.5,20.9,28.9,19.9,2,7,Struggles with our legacy modules
105243,8,36.9,34.0,19.3,11.8,5,8,Great for tests and boilerplate
104404,6,56.0,47.9,17.5,9.8,4,10,Struggles with our legacy modules
102635,10,19.2,16.3,25.4,12.9,3,9,Context window still limiting
