division,region,eligible_engineers,weekly_active_users,weekly_input_tokens_m,weekly_output_tokens_m,estimated_weekly_cost_usd,readiness_score,critical_function_pct,pilot_cycle_time_improvement_pct
Platform & DevEx,North America,720,504,34.2,11.6,18340,91,8,24
Platform & DevEx,Europe,310,205,13.8,4.8,7540,86,12,21
Retail Digital,North America,1680,1008,57.4,19.5,31020,82,18,22
Retail Digital,Europe,690,359,20.2,7.1,11180,75,24,18
Retail Digital,Asia Pacific,440,207,11.1,3.9,6120,72,21,17
Investment Banking Tech,North America,1210,472,26.7,9.3,14680,67,58,15
Investment Banking Tech,Europe,830,274,15.3,5.4,8510,61,64,12
Investment Banking Tech,Asia Pacific,370,115,6.2,2.2,3490,59,61,11
Risk & Compliance Tech,North America,860,301,16.1,5.8,9020,64,72,13
Risk & Compliance Tech,Europe,490,147,7.7,2.8,4380,58,78,10
Risk & Compliance Tech,Asia Pacific,260,73,3.7,1.4,2180,55,74,9
Core Banking & Payments,North America,1010,303,17.2,6.1,9680,57,83,12
Core Banking & Payments,Europe,650,169,9.4,3.4,5320,51,88,8
Core Banking & Payments,Asia Pacific,380,91,4.9,1.8,2790,49,81,7
Data & Quant Engineering,North America,510,245,14.9,5.2,8140,76,46,19
Data & Quant Engineering,Europe,290,128,7.3,2.6,4030,71,49,17
Enterprise Architecture,Global,260,122,6.8,2.4,3760,79,34,16
Developer Security,Global,180,86,4.5,1.6,2490,74,69,14
Quality Engineering,Global,480,197,10.1,3.6,5590,70,29,18
Technical Program Management,Global,420,151,7.6,2.7,4210,68,9,15
